"Plot Title: Brad_DG_09.28.23-2"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Full Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Temp, °F (LGR S/N: 20342070, SEN S/N: 20342070)","Coupler Detached (LGR S/N: 20342070)","Coupler Attached (LGR S/N: 20342070)","Host Connected (LGR S/N: 20342070)","Stopped (LGR S/N: 20342070)","End Of File (LGR S/N: 20342070)"
282,09/28/23 10:27:09 AM,121.5,118.8,73.35,,,,,
283,09/28/23 10:27:14 AM,121.1,118.5,73.35,,,,,
284,09/28/23 10:27:19 AM,121.7,118.8,73.35,,,,,
285,09/28/23 10:27:24 AM,120.1,117.4,73.35,,,,,
286,09/28/23 10:27:29 AM,119.5,117.0,73.35,,,,,
287,09/28/23 10:27:34 AM,119.5,117.0,73.35,,,,,
288,09/28/23 10:27:39 AM,119.2,117.0,73.35,,,,,
289,09/28/23 10:27:44 AM,118.8,115.9,73.35,,,,,
290,09/28/23 10:27:49 AM,118.8,116.3,73.35,,,,,
291,09/28/23 10:27:54 AM,118.0,115.5,73.35,,,,,
292,09/28/23 10:27:59 AM,117.5,114.8,73.35,,,,,
293,09/28/23 10:28:04 AM,117.6,114.8,73.35,,,,,
294,09/28/23 10:28:09 AM,117.5,114.8,73.35,,,,,
295,09/28/23 10:28:14 AM,117.2,114.5,73.35,,,,,
296,09/28/23 10:28:19 AM,117.2,114.5,73.35,,,,,
297,09/28/23 10:28:24 AM,117.2,114.5,73.35,,,,,
298,09/28/23 10:28:29 AM,117.0,114.1,73.35,,,,,
299,09/28/23 10:28:34 AM,117.0,114.5,73.35,,,,,
300,09/28/23 10:28:39 AM,116.6,113.7,73.35,,,,,
301,09/28/23 10:28:44 AM,115.4,112.6,73.35,,,,,
302,09/28/23 10:28:49 AM,115.4,113.0,73.35,,,,,
303,09/28/23 10:28:54 AM,115.0,112.6,73.35,,,,,
304,09/28/23 10:28:59 AM,115.1,112.6,73.35,,,,,
305,09/28/23 10:29:04 AM,114.9,112.3,73.35,,,,,
306,09/28/23 10:29:09 AM,114.4,111.9,73.35,,,,,
307,09/28/23 10:29:14 AM,114.0,111.2,73.35,,,,,
308,09/28/23 10:29:19 AM,113.8,111.2,73.35,,,,,
309,09/28/23 10:29:24 AM,113.6,110.8,73.35,,,,,
310,09/28/23 10:29:29 AM,113.1,110.5,73.35,,,,,
311,09/28/23 10:29:34 AM,112.8,110.5,73.35,,,,,
312,09/28/23 10:29:39 AM,112.8,110.1,73.35,,,,,
313,09/28/23 10:29:44 AM,112.6,110.1,73.35,,,,,
314,09/28/23 10:29:49 AM,112.6,110.1,73.35,,,,,
315,09/28/23 10:29:54 AM,112.1,109.4,73.35,,,,,
316,09/28/23 10:29:59 AM,111.9,109.4,73.35,,,,,
317,09/28/23 10:30:04 AM,111.6,109.0,73.35,,,,,
318,09/28/23 10:30:09 AM,111.5,109.0,73.35,,,,,
319,09/28/23 10:30:14 AM,111.2,108.3,73.35,,,,,
320,09/28/23 10:30:19 AM,110.9,107.9,73.35,,,,,
321,09/28/23 10:30:24 AM,110.8,107.9,73.35,,,,,
322,09/28/23 10:30:29 AM,111.0,107.9,73.35,,,,,
323,09/28/23 10:30:34 AM,110.8,107.9,73.35,,,,,
324,09/28/23 10:30:39 AM,110.8,107.9,73.35,,,,,
325,09/28/23 10:30:44 AM,110.1,107.5,73.35,,,,,
326,09/28/23 10:30:49 AM,110.3,107.5,73.35,,,,,
327,09/28/23 10:30:54 AM,110.3,107.5,73.35,,,,,
328,09/28/23 10:30:59 AM,110.1,107.5,73.35,,,,,
329,09/28/23 10:31:04 AM,110.2,107.5,73.35,,,,,
330,09/28/23 10:31:09 AM,110.1,107.2,73.35,,,,,
331,09/28/23 10:31:14 AM,109.9,107.2,73.35,,,,,
332,09/28/23 10:31:19 AM,109.6,107.2,73.35,,,,,
333,09/28/23 10:31:24 AM,109.4,106.8,73.35,,,,,
334,09/28/23 10:31:29 AM,109.1,106.5,73.35,,,,,
335,09/28/23 10:31:34 AM,109.0,106.5,73.35,,,,,
336,09/28/23 10:31:39 AM,108.8,106.1,73.35,,,,,
337,09/28/23 10:31:44 AM,108.8,106.1,73.35,,,,,
338,09/28/23 10:31:49 AM,108.6,105.7,73.35,,,,,
339,09/28/23 10:31:54 AM,108.5,106.1,73.35,,,,,
340,09/28/23 10:31:59 AM,108.4,105.7,73.35,,,,,
341,09/28/23 10:32:04 AM,108.3,105.7,73.33,,,,,
342,09/28/23 10:32:09 AM,108.1,105.4,73.35,,,,,
343,09/28/23 10:32:14 AM,108.0,105.4,73.35,,,,,
344,09/28/23 10:32:19 AM,107.9,105.0,73.35,,,,,
345,09/28/23 10:32:24 AM,107.8,105.0,73.35,,,,,
346,09/28/23 10:32:29 AM,107.8,104.6,73.35,,,,,
347,09/28/23 10:32:34 AM,107.6,104.6,73.35,,,,,
348,09/28/23 10:32:39 AM,107.6,104.6,73.35,,,,,
349,09/28/23 10:32:44 AM,107.4,104.6,73.35,,,,,
350,09/28/23 10:32:49 AM,107.5,104.6,73.35,,,,,
351,09/28/23 10:32:54 AM,107.4,104.6,73.35,,,,,
352,09/28/23 10:32:59 AM,107.3,104.3,73.35,,,,,
353,09/28/23 10:33:04 AM,107.1,104.3,73.35,,,,,
354,09/28/23 10:33:09 AM,107.0,104.3,73.33,,,,,
355,09/28/23 10:33:14 AM,107.0,104.3,73.35,,,,,
356,09/28/23 10:33:19 AM,106.9,104.6,73.35,,,,,
357,09/28/23 10:33:24 AM,106.9,103.9,73.35,,,,,
358,09/28/23 10:33:29 AM,106.8,103.9,73.35,,,,,
359,09/28/23 10:33:34 AM,106.8,103.9,73.35,,,,,
360,09/28/23 10:33:39 AM,106.7,103.9,73.35,,,,,
361,09/28/23 10:33:44 AM,106.5,103.9,73.35,,,,,
362,09/28/23 10:33:49 AM,106.5,103.9,73.35,,,,,
