"Plot Title: Brad_DG_2023-06-01"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Full Range, μS/cm (LGR S/N: 20342070, SEN S/N: 20342070)","Temp, °F (LGR S/N: 20342070, SEN S/N: 20342070)","Host Connected (LGR S/N: 20342070)","Coupler Detached (LGR S/N: 20342070)","Coupler Attached (LGR S/N: 20342070)","End Of File (LGR S/N: 20342070)"
118,06/01/23 10:28:11 AM,0.4,-0.9,83.19,,,,
119,06/01/23 10:28:16 AM,0.4,-4.5,83.21,,,,
120,06/01/23 10:28:21 AM,1.8,-0.9,83.21,,,,
121,06/01/23 10:28:26 AM,0.3,-0.9,83.21,,,,
122,06/01/23 10:28:31 AM,0.3,-0.9,83.23,,,,
123,06/01/23 10:28:36 AM,0.3,-0.9,83.23,,,,
124,06/01/23 10:28:41 AM,0.3,-0.9,83.23,,,,
125,06/01/23 10:28:46 AM,0.4,-0.9,83.23,,,,
126,06/01/23 10:28:51 AM,0.4,-0.9,83.23,,,,
127,06/01/23 10:28:56 AM,1.8,-0.9,83.23,,,,
128,06/01/23 10:29:01 AM,0.3,-0.9,83.26,,,,
129,06/01/23 10:29:06 AM,0.4,-0.9,83.23,,,,
130,06/01/23 10:29:11 AM,-0.3,-0.9,83.26,,,,
131,06/01/23 10:29:16 AM,0.3,-0.9,83.28,,,,
132,06/01/23 10:29:21 AM,0.3,-0.9,83.26,,,,
133,06/01/23 10:29:26 AM,0.4,-0.9,83.28,,,,
134,06/01/23 10:29:31 AM,-0.1,-0.9,83.28,,,,
135,06/01/23 10:29:36 AM,0.4,-4.5,83.28,,,,
136,06/01/23 10:29:41 AM,0.3,-0.9,83.30,,,,
137,06/01/23 10:29:46 AM,0.3,-4.5,83.32,,,,
138,06/01/23 10:29:51 AM,0.3,-0.9,83.34,,,,
139,06/01/23 10:29:56 AM,0.4,-0.9,83.34,,,,
140,06/01/23 10:30:01 AM,0.4,-0.9,83.35,,,,
141,06/01/23 10:30:06 AM,0.3,-0.9,83.37,,,,
142,06/01/23 10:30:11 AM,0.4,-0.9,83.41,,,,
143,06/01/23 10:30:16 AM,0.3,-0.9,83.41,,,,
144,06/01/23 10:30:21 AM,0.3,-0.9,83.43,,,,
145,06/01/23 10:30:26 AM,0.4,-0.9,83.43,,,,
146,06/01/23 10:30:31 AM,0.3,-0.9,83.44,,,,
147,06/01/23 10:30:36 AM,0.3,-0.9,83.46,,,,
148,06/01/23 10:30:41 AM,0.3,-3.4,83.46,,,,
149,06/01/23 10:30:46 AM,0.4,-0.9,83.48,,,,
150,06/01/23 10:30:51 AM,0.3,-0.9,83.48,,,,
151,06/01/23 10:30:56 AM,0.3,-4.5,83.50,,,,
152,06/01/23 10:31:01 AM,0.4,-0.9,83.52,,,,
153,06/01/23 10:31:06 AM,0.3,-0.9,83.59,,,,
154,06/01/23 10:31:11 AM,0.3,-4.5,83.64,,,,
155,06/01/23 10:31:16 AM,0.4,-0.9,83.70,,,,
156,06/01/23 10:31:21 AM,0.4,-0.9,83.82,,,,
157,06/01/23 10:31:26 AM,1.8,-0.9,83.86,,,,
158,06/01/23 10:31:31 AM,0.4,-0.9,83.91,,,,
159,06/01/23 10:31:36 AM,0.3,-0.9,83.97,,,,
160,06/01/23 10:31:41 AM,0.4,-0.9,83.86,,,,
161,06/01/23 10:31:46 AM,0.3,-4.8,83.70,,,,
162,06/01/23 10:31:51 AM,0.3,-0.9,83.68,,,,
163,06/01/23 10:31:56 AM,0.4,-0.9,83.75,,,,
164,06/01/23 10:32:01 AM,0.3,-0.9,83.75,,,,
165,06/01/23 10:32:06 AM,1.6,-0.9,83.82,,,,
166,06/01/23 10:32:11 AM,0.3,-0.9,83.88,,,,
167,06/01/23 10:32:16 AM,0.4,-0.9,83.86,,,,
168,06/01/23 10:32:21 AM,0.4,-0.9,83.89,,,,
169,06/01/23 10:32:26 AM,0.4,-0.9,83.91,,,,
170,06/01/23 10:32:31 AM,0.4,-0.9,83.89,,,,
171,06/01/23 10:32:36 AM,0.3,-0.9,84.00,,,,
172,06/01/23 10:32:41 AM,0.3,-3.4,84.04,,,,
173,06/01/23 10:32:46 AM,1.6,-0.9,83.98,,,,
174,06/01/23 10:32:51 AM,0.4,-0.9,84.00,,,,
175,06/01/23 10:32:56 AM,0.4,-0.9,83.97,,,,
176,06/01/23 10:33:01 AM,1.8,-0.9,83.98,,,,
177,06/01/23 10:33:06 AM,0.3,-0.9,83.93,,,,
