Date,Eosense,Vaisala,K30
2024-06-16T07:00:00Z,2152.148,546.9759,135.5298
2024-06-16T07:15:00Z,2136.714,527.0179,135.1659
2024-06-16T07:30:00Z,2136.722,544.8791,135.4311
2024-06-16T07:45:00Z,2137.119,545.6522,135.6944
2024-06-16T08:00:00Z,2137.206,527.1163,135.5111
2024-06-16T08:15:00Z,2137.136,547.7268,135.7453
2024-06-16T08:30:00Z,2136.998,541.283,135.589
2024-06-16T08:45:00Z,2137.043,516.8962,135.4787
2024-06-16T09:00:00Z,2136.994,527.6613,135.501
2024-06-16T09:15:00Z,2151.76,550.3815,135.6834
2024-06-16T09:30:00Z,2136.674,519.3352,135.4048
2024-06-16T09:45:00Z,2151.973,515.3362,135.3444
2024-06-16T10:00:00Z,2151.932,539.7797,135.4581
2024-06-16T10:15:00Z,2151.921,514.5624,135.1977
2024-06-16T10:30:00Z,2151.999,504.6863,135.344
2024-06-16T10:45:00Z,2166.646,520.2144,135.7635
2024-06-16T11:00:00Z,2152.134,496.6096,135.492
2024-06-16T11:15:00Z,2167.125,519.2589,135.4792
2024-06-16T11:30:00Z,2166.874,510.7274,135.7834
2024-06-16T11:45:00Z,2182.17,487.9973,135.5045
2024-06-16T12:00:00Z,2182.067,484.7712,135.222
2024-06-16T12:15:00Z,2197.531,509.8857,135.4921
2024-06-16T12:30:00Z,2197.299,484.9363,135.198
2024-06-16T12:45:00Z,2212.555,503.6609,135.4767
2024-06-16T13:00:00Z,2227.591,502.8869,135.2436
2024-06-16T13:15:00Z,2242.674,520.5463,135.782
2024-06-16T13:30:00Z,2242.632,516.5358,135.6187
2024-06-16T13:45:00Z,2257.812,501.9703,135.5112
2024-06-16T14:00:00Z,2257.988,485.8479,135.2596
2024-06-16T14:15:00Z,2273.31,497.3517,135.5743
2024-06-16T14:30:00Z,2272.762,501.4814,135.4814
2024-06-16T14:45:00Z,2272.791,485.0637,135.2486
2024-06-16T15:00:00Z,2303.089,495.1695,135.2543
2024-06-16T15:15:00Z,2318.821,521.6869,135.7846
2024-06-16T15:30:00Z,2334.003,504.1081,135.5619
2024-06-16T15:45:00Z,2348.922,509.9147,135.6161
2024-06-16T16:00:00Z,2348.825,509.4741,135.5201
2024-06-16T16:15:00Z,2348.716,487.2243,135.763
2024-06-16T16:30:00Z,2363.613,485.8868,135.5329
2024-06-16T16:45:00Z,2378.851,474.4545,135.2821
2024-06-16T17:00:00Z,2379.19,476.1333,135.4861
2024-06-16T17:15:00Z,2394.273,476.9937,135.5595
2024-06-16T17:30:00Z,2393.93,476.6746,135.2533
2024-06-16T17:45:00Z,2394.255,490.7725,135.8517
2024-06-16T18:00:00Z,2409.07,490.5671,135.8486
2024-06-16T18:15:00Z,2424.307,474.1979,136.0564
2024-06-16T18:30:00Z,2440.162,465.413,135.2578
2024-06-16T18:45:00Z,2454.686,500.636,139.9873
2024-06-16T19:00:00Z,2469.531,498.3833,135.2957
2024-06-16T19:15:00Z,2485.122,494.1573,147.2928
2024-06-16T19:30:00Z,2499.902,475.1126,135.2496
2024-06-16T19:45:00Z,2514.975,491.1747,150.5094
2024-06-16T20:00:00Z,2514.85,465.058,135.4321
2024-06-16T20:15:00Z,2530.495,505.6164,151.868
