Date,Rep,V,CDOM,CO2
6/19/2023 2:00,324,11.98,7.507635,35.62704
6/19/2023 3:00,325,11.98,5.460469,24.01804
6/19/2023 4:00,326,11.97,7.508518,24.52663
6/19/2023 5:00,327,11.97,5.460751,26.92582
6/19/2023 6:00,328,11.97,5.460751,28.78326
6/19/2023 7:00,329,11.96,5.460751,34.35558
6/19/2023 8:00,330,11.96,5.460751,32.36547
6/19/2023 9:00,331,11.98,8.189165,33.85806
6/19/2023 10:00,332,11.96,8.188341,34.23396
6/19/2023 11:00,333,11.97,8.188335,32.48168
6/19/2023 12:00,334,11.96,8.188335,29.83958
6/19/2023 13:00,335,11.96,7.505974,29.45739
6/19/2023 14:00,336,11.96,8.188342,30.51908
6/19/2023 15:00,337,11.96,5.45889,30.40852
6/19/2023 16:00,338,11.96,8.188335,30.49217
6/19/2023 17:00,339,11.95,8.188335,30.70182
6/19/2023 18:00,340,11.95,8.188335,30.3923
6/19/2023 19:00,341,11.95,6.141251,29.51901
6/19/2023 20:00,342,11.94,5.45889,29.46479
6/19/2023 21:00,343,11.94,8.188335,29.30271
6/19/2023 22:00,344,11.93,5.45889,30.62964
6/19/2023 23:00,345,11.93,5.45895,30.89499
6/20/2023 0:00,346,11.92,5.45895,30.13212
6/20/2023 1:00,347,11.92,8.1894,31.1705
6/20/2023 2:00,348,11.91,8.189613,22.90137
6/20/2023 3:00,349,11.91,6.142238,26.83737
6/20/2023 4:00,350,11.91,7.507874,27.02533
6/20/2023 5:00,351,11.9,5.460749,32.23279
6/20/2023 6:00,352,11.89,5.460751,30.47486
6/20/2023 7:00,353,11.88,8.191126,30.6407
6/20/2023 8:00,354,11.88,6.825938,19.25283
6/20/2023 9:00,355,11.88,8.191126,16.46667
6/20/2023 10:00,356,11.87,8.191126,19.51818
6/20/2023 11:00,357,11.88,6.825938,25.20106
6/20/2023 12:00,358,11.9,8.191126,28.45158
6/20/2023 13:00,359,11.9,8.188772,28.6727
6/20/2023 14:00,360,11.88,8.188339,28.47369
6/20/2023 15:00,361,11.89,5.45889,28.16387
6/20/2023 16:00,362,11.88,8.188335,28.87171
6/20/2023 17:00,363,11.88,8.188335,28.75827
6/20/2023 18:00,364,11.87,8.188335,29.22514
6/20/2023 19:00,365,11.86,5.45889,30.9945
6/20/2023 20:00,366,11.86,6.141251,27.71076
6/20/2023 21:00,367,11.85,8.188335,28.42946
6/20/2023 22:00,368,11.85,5.45889,30.0105
6/20/2023 23:00,369,11.85,5.459073,30.71796
6/21/2023 0:00,370,11.84,8.188909,29.41346
6/21/2023 1:00,371,11.84,6.142087,31.45886
6/21/2023 2:00,372,11.83,5.460025,31.14929
6/21/2023 3:00,373,11.83,6.824872,31.04978
6/21/2023 4:00,374,11.83,5.460216,30.86182
6/21/2023 5:00,375,11.82,5.460095,30.37535
6/21/2023 6:00,376,11.82,8.190123,21.3535
6/21/2023 7:00,377,11.82,7.507694,21.55251
6/21/2023 8:00,378,11.81,5.460114,21.40878
6/21/2023 9:00,379,11.82,8.189964,21.55251
6/21/2023 10:00,380,11.81,6.142286,22.03899
6/21/2023 11:00,381,11.82,5.459472,15.0957
6/21/2023 12:00,382,11.81,8.188335,11.2592
6/21/2023 13:00,383,11.8,8.188335,18.08087
6/21/2023 14:00,384,11.81,7.507747,14.03431
6/21/2023 15:00,385,11.81,5.46058,14.44338
6/21/2023 16:00,386,11.79,5.460713,16.32294
6/21/2023 17:00,387,11.79,5.460333,10.69534
6/21/2023 18:00,388,11.78,5.460724,14.34388
6/21/2023 19:00,389,11.77,6.143101,18.68896
6/21/2023 20:00,390,11.77,7.508451,18.31305
6/21/2023 21:00,391,11.77,5.460543,20.87809
6/21/2023 22:00,392,11.76,8.191125,21.22083
6/21/2023 23:00,393,11.76,5.460751,20.85597
6/22/2023 0:00,394,11.75,8.191126,19.81669
6/22/2023 1:00,395,11.74,5.460751,20.78964
