"Plot Title: Bradford_7DO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733142, SEN S/N: 10733142)","Temp, °F (LGR S/N: 10733142, SEN S/N: 10733142)","Coupler Attached (LGR S/N: 10733142, SEN S/N: 10733142)","Coupler Detached (LGR S/N: 10733142, SEN S/N: 10733142)","Host Connected (LGR S/N: 10733142, SEN S/N: 10733142)","Stopped (LGR S/N: 10733142, SEN S/N: 10733142)","End Of File (LGR S/N: 10733142, SEN S/N: 10733142)"
195,04/26/24 02:00:00 PM,0.39,70.88,,,,,
196,04/26/24 03:00:00 PM,0.41,71.24,,,,,
197,04/26/24 04:00:00 PM,0.23,71.35,,,,,
198,04/26/24 05:00:00 PM,0.24,71.28,,,,,
199,04/26/24 06:00:00 PM,0.26,71.02,,,,,
200,04/26/24 07:00:00 PM,0.37,70.70,,,,,
201,04/26/24 08:00:00 PM,0.52,70.34,,,,,
202,04/26/24 09:00:00 PM,0.82,70.02,,,,,
203,04/26/24 10:00:00 PM,0.87,69.66,,,,,
204,04/26/24 11:00:00 PM,0.07,69.22,,,,,
205,04/27/24 12:00:00 AM,0.34,68.79,,,,,
206,04/27/24 01:00:00 AM,0.91,68.40,,,,,
207,04/27/24 02:00:00 AM,0.65,68.11,,,,,
208,04/27/24 03:00:00 AM,0.86,67.82,,,,,
209,04/27/24 04:00:00 AM,1.10,67.60,,,,,
210,04/27/24 05:00:00 AM,0.61,67.42,,,,,
211,04/27/24 06:00:00 AM,0.67,67.28,,,,,
212,04/27/24 07:00:00 AM,0.12,67.32,,,,,
213,04/27/24 08:00:00 AM,-0.03,67.42,,,,,
214,04/27/24 09:00:00 AM,-0.03,67.46,,,,,
215,04/27/24 10:00:00 AM,-0.03,67.57,,,,,
216,04/27/24 11:00:00 AM,0.88,67.64,,,,,
217,04/27/24 12:00:00 PM,-0.03,67.75,,,,,
218,04/27/24 01:00:00 PM,0.26,68.36,,,,,
219,04/27/24 02:00:00 PM,0.44,68.83,,,,,
220,04/27/24 03:00:00 PM,0.58,69.26,,,,,
221,04/27/24 04:00:00 PM,0.67,69.58,,,,,
222,04/27/24 05:00:00 PM,0.59,69.62,,,,,
223,04/27/24 06:00:00 PM,0.10,69.62,,,,,
224,04/27/24 07:00:00 PM,-0.03,69.40,,,,,
225,04/27/24 08:00:00 PM,-0.03,69.26,,,,,
226,04/27/24 09:00:00 PM,-0.03,69.04,,,,,
227,04/27/24 10:00:00 PM,-0.03,68.86,,,,,
228,04/27/24 11:00:00 PM,-0.01,68.65,,,,,
229,04/28/24 12:00:00 AM,0.06,68.43,,,,,
230,04/28/24 01:00:00 AM,0.06,68.29,,,,,
