MiniDOT Logger Concatenated Data File
Sensor:             7450-866812
Concatenation Date: 2024Feb13 09:18:08 EST

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1689004800,           2023-07-10 16:00:00,           2023-07-10 12:00:00,      3.480000,     25.368000,          0.112000,                     1.364644,      0.980000
                1689008400,           2023-07-10 17:00:00,           2023-07-10 13:00:00,      3.480000,     25.325000,          0.648000,                     7.889217,      0.989000
                1689012000,           2023-07-10 18:00:00,           2023-07-10 14:00:00,      3.480000,     25.208000,          1.163000,                    14.128822,      0.993000
                1689015600,           2023-07-10 19:00:00,           2023-07-10 15:00:00,      3.480000,     25.157000,          1.649000,                    20.014276,      0.994000
                1689019200,           2023-07-10 20:00:00,           2023-07-10 16:00:00,      3.480000,     25.149000,          1.615000,                    19.598728,      0.994000
                1689022800,           2023-07-10 21:00:00,           2023-07-10 17:00:00,      3.480000,     25.166000,          1.775000,                    21.547130,      0.994000
                1689026400,           2023-07-10 22:00:00,           2023-07-10 18:00:00,      3.480000,     25.182000,          1.999000,                    24.273454,      0.993000
                1689030000,           2023-07-10 23:00:00,           2023-07-10 19:00:00,      3.480000,     25.174000,          2.457000,                    29.830470,      0.993000
                1689033600,           2023-07-11 00:00:00,           2023-07-10 20:00:00,      3.480000,     25.123000,          2.730000,                    33.113903,      0.993000
                1689037200,           2023-07-11 01:00:00,           2023-07-10 21:00:00,      3.480000,     25.098000,          2.873000,                    34.832418,      0.993000
                1689040800,           2023-07-11 02:00:00,           2023-07-10 22:00:00,      3.480000,     25.081000,          3.014000,                    36.530482,      0.993000
                1689044400,           2023-07-11 03:00:00,           2023-07-10 23:00:00,      3.480000,     25.065000,          3.120000,                    37.804096,      0.994000
                1689048000,           2023-07-11 04:00:00,           2023-07-11 00:00:00,      3.480000,     25.048000,          3.155000,                    38.216218,      0.993000
                1689051600,           2023-07-11 05:00:00,           2023-07-11 01:00:00,      3.480000,     25.022000,          3.199000,                    38.730638,      0.994000
                1689055200,           2023-07-11 06:00:00,           2023-07-11 02:00:00,      3.480000,     24.997000,          3.209000,                    38.833820,      0.994000
                1689058800,           2023-07-11 07:00:00,           2023-07-11 03:00:00,      3.480000,     24.980000,          3.178000,                    38.446627,      0.993000
                1689062400,           2023-07-11 08:00:00,           2023-07-11 04:00:00,      3.480000,     24.938000,          3.185000,                    38.501490,      0.993000
                1689066000,           2023-07-11 09:00:00,           2023-07-11 05:00:00,      3.480000,     24.922000,          3.226000,                    38.985608,      0.993000
                1689069600,           2023-07-11 10:00:00,           2023-07-11 06:00:00,      3.480000,     24.888000,          3.257000,                    39.335556,      0.994000
                1689073200,           2023-07-11 11:00:00,           2023-07-11 07:00:00,      3.480000,     24.863000,          3.280000,                    39.595058,      0.994000
                1689076800,           2023-07-11 12:00:00,           2023-07-11 08:00:00,      3.480000,     24.854000,          3.329000,                    40.179894,      0.993000
                1689080400,           2023-07-11 13:00:00,           2023-07-11 09:00:00,      3.480000,     24.854000,          3.377000,                    40.759237,      0.994000
                1689084000,           2023-07-11 14:00:00,           2023-07-11 10:00:00,      3.480000,     24.854000,          3.393000,                    40.952352,      0.993000
                1689087600,           2023-07-11 15:00:00,           2023-07-11 11:00:00,      3.480000,     24.854000,          3.417000,                    41.242024,      0.993000
                1689091200,           2023-07-11 16:00:00,           2023-07-11 12:00:00,      3.480000,     24.863000,          3.398000,                    41.019515,      0.993000
                1689094800,           2023-07-11 17:00:00,           2023-07-11 13:00:00,      3.480000,     24.905000,          3.463000,                    41.836587,      0.994000
                1689098400,           2023-07-11 18:00:00,           2023-07-11 14:00:00,      3.480000,     25.031000,          3.457000,                    41.861210,      0.993000
                1689102000,           2023-07-11 19:00:00,           2023-07-11 15:00:00,      3.480000,     25.149000,          3.406000,                    41.333293,      0.993000
                1689105600,           2023-07-11 20:00:00,           2023-07-11 16:00:00,      3.480000,     25.140000,          3.368000,                    40.865383,      0.993000
                1689109200,           2023-07-11 21:00:00,           2023-07-11 17:00:00,      3.480000,     25.208000,          3.279000,                    39.835261,      0.993000
                1689112800,           2023-07-11 22:00:00,           2023-07-11 18:00:00,      3.480000,     25.166000,          3.229000,                    39.197568,      0.994000
                1689116400,           2023-07-11 23:00:00,           2023-07-11 19:00:00,      3.480000,     25.166000,          3.124000,                    37.922949,      0.994000
                1689120000,           2023-07-12 00:00:00,           2023-07-11 20:00:00,      3.480000,     25.199000,          3.036000,                    36.877054,      0.993000
                1689123600,           2023-07-12 01:00:00,           2023-07-11 21:00:00,      3.480000,     25.216000,          2.974000,                    36.135248,      0.994000
                1689127200,           2023-07-12 02:00:00,           2023-07-11 22:00:00,      3.480000,     25.224000,          2.929000,                    35.593710,      0.994000
                1689130800,           2023-07-12 03:00:00,           2023-07-11 23:00:00,      3.480000,     25.258000,          2.995000,                    36.418482,      0.994000
                1689134400,           2023-07-12 04:00:00,           2023-07-12 00:00:00,      3.480000,     25.258000,          3.046000,                    37.038629,      0.993000
                1689138000,           2023-07-12 05:00:00,           2023-07-12 01:00:00,      3.480000,     25.258000,          3.109000,                    37.804694,      0.993000
                1689141600,           2023-07-12 06:00:00,           2023-07-12 02:00:00,      3.480000,     25.241000,          3.138000,                    38.145420,      0.993000
                1689145200,           2023-07-12 07:00:00,           2023-07-12 03:00:00,      3.480000,     25.216000,          3.199000,                    38.869085,      0.993000
                1689148800,           2023-07-12 08:00:00,           2023-07-12 04:00:00,      3.480000,     25.199000,          3.212000,                    39.014854,      0.994000
                1689152400,           2023-07-12 09:00:00,           2023-07-12 05:00:00,      3.480000,     25.157000,          3.202000,                    38.863379,      0.994000
                1689156000,           2023-07-12 10:00:00,           2023-07-12 06:00:00,      3.480000,     25.090000,          3.220000,                    39.033720,      0.994000
